timestamp_sec,emotion,confidence
0.0,angry,52.458637
0.5,neutral,99.984505
1.01,neutral,92.68754
1.51,neutral,47.9594
2.02,surprise,84.35428
2.52,surprise,42.244186
3.03,surprise,37.7521
3.53,neutral,99.6425
4.04,neutral,86.12344
4.54,neutral,58.481247
5.05,neutral,99.046364
5.55,surprise,69.18066
6.06,neutral,69.83628
6.56,angry,38.78766
7.07,neutral,86.33102
7.57,neutral,99.80681
8.08,neutral,99.83628
8.58,neutral,91.76787
9.09,neutral,99.5815
9.59,angry,30.63905
10.1,sad,86.4234
10.6,sad,79.96554
11.11,surprise,99.59833
11.61,sad,36.22586
12.12,neutral,87.20184
12.62,neutral,37.0906
13.13,angry,80.076645
13.63,neutral,48.910145
14.14,neutral,99.569016
14.64,neutral,89.658615
15.15,angry,52.135513
15.65,neutral,99.455666
16.16,sad,52.96214
16.66,neutral,99.99093
17.17,sad,75.2183
17.67,neutral,44.756958
18.18,happy,99.198204
18.68,angry,59.460426
19.19,happy,25.478786
19.69,happy,43.14977
20.2,angry,66.53659
20.7,sad,45.965996
21.21,neutral,37.12669
21.71,neutral,99.922966
22.22,happy,93.821266
22.72,happy,99.0627
23.23,happy,89.17768
23.73,happy,90.0611
24.24,happy,65.43024
24.74,happy,97.847694
25.25,happy,97.75786
25.75,sad,69.79852
26.26,sad,74.23643
26.76,sad,57.02659
27.27,neutral,99.98759
27.77,happy,76.40483
28.28,neutral,85.80306
28.78,sad,56.555557
29.29,neutral,99.64133
29.79,sad,55.4435
30.3,angry,53.238796
30.8,surprise,71.24225
31.31,sad,41.361404
31.81,neutral,76.46273
32.32,sad,60.08669
32.82,neutral,99.97543
33.33,surprise,43.44846
33.83,sad,40.98063
34.34,neutral,43.946205
