frame,timestamp_sec,emotion,confidence
0,0.0,happy,96.64
15,0.5,happy,68.79
30,1.0,neutral,93.22
45,1.5,fear,61.29
60,2.0,happy,60.92
75,2.5,happy,98.52
90,3.0,sad,48.86
105,3.5,happy,99.33
120,4.0,happy,99.37
135,4.5,happy,63.89
150,5.0,happy,97.8
165,5.5,surprise,49.98
180,6.0,neutral,71.06
195,6.5,happy,85.92
210,7.0,happy,96.8
225,7.5,neutral,85.97
240,8.0,sad,93.63
255,8.5,happy,97.76
270,9.0,happy,99.52
285,9.5,happy,98.84
300,10.0,fear,51.19
315,10.5,neutral,91.54
330,11.0,neutral,65.16
345,11.5,happy,99.97
360,12.0,sad,48.35
375,12.5,angry,88.2
390,13.0,angry,47.06
405,13.5,sad,46.81
420,14.0,neutral,91.61
435,14.5,neutral,54.07
450,15.0,fear,54.56
465,15.5,angry,75.31
480,16.0,angry,88.18
495,16.5,sad,83.64
510,17.0,sad,65.33
525,17.5,neutral,96.64
540,18.0,fear,68.88
555,18.5,fear,61.96
570,19.0,fear,82.8
585,19.5,fear,94.04
600,20.0,fear,83.23
615,20.5,angry,65.96
630,21.0,angry,63.36
645,21.5,angry,61.04
660,22.0,angry,95.82
675,22.5,angry,77.83
690,23.0,fear,61.54
705,23.5,sad,39.58
720,24.0,surprise,76.98
735,24.5,neutral,41.8
750,25.0,neutral,51.44
765,25.5,sad,70.93
780,26.0,angry,49.54
795,26.5,angry,96.49
810,27.0,angry,73.73
825,27.5,angry,99.77
840,28.0,neutral,99.21
855,28.5,angry,99.54
870,29.0,neutral,97.33
885,29.5,angry,57.77
900,30.0,neutral,88.25
915,30.5,surprise,83.53
930,31.0,neutral,96.23
945,31.5,fear,85.43
960,32.0,neutral,98.37
975,32.5,angry,61.4
990,33.0,angry,99.12
1005,33.5,angry,79.66
1020,34.0,angry,62.04
1035,34.5,sad,77.38
1050,35.0,sad,92.29
1065,35.5,sad,84.79
1080,36.0,sad,98.78
1095,36.5,angry,96.39
1110,37.0,angry,85.64
1125,37.5,angry,62.22
1140,38.0,surprise,74.65
1155,38.5,angry,97.01
1170,39.0,angry,99.89
1185,39.5,fear,60.39
1200,40.0,angry,74.32
1215,40.5,angry,79.04
1230,41.0,sad,32.0
1245,41.5,sad,43.71
1260,42.0,angry,47.86
1275,42.5,fear,62.38
1290,43.0,angry,93.26
1305,43.5,angry,64.36
1320,44.0,angry,68.29
1335,44.5,angry,98.75
1350,45.0,angry,98.27
1365,45.5,angry,95.15
1380,46.0,sad,78.23
1395,46.5,sad,53.35
1410,47.0,happy,81.69
1425,47.5,happy,96.36
1440,48.0,surprise,70.64
1455,48.5,angry,65.01
1470,49.0,angry,87.19
1485,49.5,happy,94.66
1500,50.0,fear,66.39
1515,50.5,sad,86.86
1530,51.0,sad,77.82
1545,51.5,sad,97.64
1560,52.0,fear,49.97
1575,52.5,sad,77.15
1590,53.0,fear,61.95
1605,53.5,neutral,48.89
1620,54.0,surprise,55.26
1635,54.5,neutral,98.89
